,price_log,sqft_lot,sqft_above,sqft_garage,sqft_patio,bedrooms,bathrooms,floors,condition_num,extracted_grade_num,waterfront_YES,greenbelt_YES,basement_1.0,sewer_PUBLIC,heat_Electricity/Solar,heat_Gas,heat_Gas/Solar,heat_Oil
21177,12.422988847088627,39808,1790,460,290,3,1.5,1.0,4,7,0,0,0,1,0,0,0,1
10844,13.319573546692034,12866,2232,440,60,4,1.5,1.5,4,7,0,0,0,1,0,1,0,0
9292,13.835313185260453,15156,1380,0,0,5,2.0,1.0,4,8,0,0,1,1,0,0,0,1
17878,13.321214236149494,15552,1210,0,330,5,2.0,1.0,3,7,0,0,1,0,0,0,0,1
14450,13.458835614025542,8620,1720,0,0,3,2.0,1.5,5,7,0,0,0,1,0,1,0,0
11853,13.038981768465277,7599,1010,0,220,3,1.0,1.5,4,6,0,0,1,1,0,0,0,1
16148,13.482831119581757,17197,1200,530,80,4,3.0,1.0,3,7,0,0,1,1,0,1,0,0
16901,13.592367006650065,27275,2170,0,260,4,2.0,1.5,4,7,0,0,1,1,0,1,0,0
27038,12.793859310432293,13725,830,380,100,2,1.0,1.0,3,6,0,0,1,1,0,0,0,1
29125,12.84792653170257,19590,1740,560,0,4,1.5,1.0,3,7,0,0,0,0,0,0,0,1
24546,13.428376406540833,5221,790,0,500,3,2.0,1.0,3,6,0,0,1,1,0,0,0,1
4512,13.527828485512494,422967,1340,0,0,4,1.0,1.5,4,7,0,0,1,0,0,0,0,1
28642,13.217673557208654,39104,1770,0,0,3,1.5,2.0,4,6,0,0,0,0,0,0,0,0
12431,14.808762330974558,3253932,850,0,0,2,1.0,1.0,3,6,0,0,0,0,0,0,0,0
11305,12.89921982609012,5324,1370,0,0,3,1.5,1.5,5,6,0,0,1,1,0,1,0,0
341,13.5985975564007,6000,460,0,40,1,1.0,1.0,4,5,0,0,0,1,0,1,0,0
26170,13.845069360205818,6000,2250,0,200,3,1.5,1.5,4,7,0,0,1,1,0,0,0,1
1787,12.80765263256463,5750,880,0,190,2,1.0,1.0,3,5,0,0,0,1,0,1,0,0
7032,13.281075068559149,5335,1480,0,250,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0
6927,12.01974306733868,6000,740,0,0,4,1.0,1.0,3,6,0,0,1,1,0,0,0,1
4018,14.038053929206452,6000,940,0,0,1,1.0,1.0,3,6,0,0,1,1,0,0,0,1
10108,14.392123922268269,50260,6400,1430,2500,6,4.5,2.0,3,11,0,0,1,1,0,1,0,0
17126,13.277656261810364,8490,1460,0,0,4,2.0,1.0,3,7,0,0,1,1,0,1,0,0
11384,13.815510557964274,7200,1880,0,120,4,2.0,2.0,3,8,0,0,1,1,0,0,0,0
18338,13.85952744338105,840,1340,0,0,2,2.5,3.0,3,9,0,0,0,1,0,1,0,0
10049,13.742939865129438,1274,1170,0,220,3,2.0,2.0,3,9,0,0,1,1,0,1,0,0
15445,14.199070830684388,7320,2120,0,190,4,3.0,2.0,5,8,0,0,1,1,0,1,0,0
18493,13.710150042306449,1275,1140,0,410,3,2.0,2.0,3,9,0,0,1,1,0,1,0,0
1288,13.53777881636566,954,1280,0,0,3,2.0,3.0,3,9,0,0,0,1,0,1,0,0
5589,13.890876809580828,1366,1960,0,300,3,2.5,3.0,3,9,0,0,0,1,0,1,0,0
