,price_log,bedrooms,bathrooms,floors,condition_num,extracted_grade_num,waterfront_YES,greenbelt_YES,basement_1.0,sewer_PUBLIC,heat_Electricity/Solar,heat_Gas,heat_Gas/Solar,heat_Oil,sqft_lot_log,sqft_above_log,garage,patio
21177,12.422988847088627,3,1.5,1.0,4,7,0,0,0,1,0,0,0,1,10.59182317609885,7.489970898834801,1,1
10844,13.319573546692034,4,1.5,1.5,4,7,0,0,0,1,0,1,0,0,9.462343451970945,7.710653323501202,1,1
9292,13.835313185260453,5,2.0,1.0,4,8,0,0,1,1,0,0,0,1,9.626151772138492,7.22983877815125,0,0
17878,13.321214236149494,5,2.0,1.0,3,7,0,0,1,0,0,0,0,1,9.65194452670022,7.098375638590786,0,1
14450,13.458835614025542,3,2.0,1.5,5,7,0,0,0,1,0,1,0,0,9.061840363657739,7.450079569807499,0,0
11853,13.038981768465277,3,1.0,1.5,4,6,0,0,1,1,0,0,0,1,8.935771938669784,6.917705609835305,0,1
16148,13.482831119581757,4,3.0,1.0,3,7,0,0,1,1,0,1,0,0,9.752490228984199,7.090076835776092,1,1
16901,13.592367006650065,4,2.0,1.5,4,7,0,0,1,1,0,1,0,0,10.213725810701272,7.682482446534506,0,1
27038,12.793859310432293,2,1.0,1.0,3,6,0,0,1,1,0,0,0,1,9.526974266377731,6.721425700790643,1,1
29125,12.84792653170257,4,1.5,1.0,3,7,0,0,0,0,0,0,0,1,9.882774510938587,7.461640392208575,1,0
24546,13.428376406540833,3,2.0,1.0,3,6,0,0,1,1,0,0,0,1,8.560444233410552,6.672032945461067,0,1
4512,13.527828485512494,4,1.0,1.5,4,7,0,0,1,0,0,0,0,1,12.955049440800753,7.200424892944957,0,0
28642,13.217673557208654,3,1.5,2.0,4,6,0,0,0,0,0,0,0,0,10.573980042531268,7.478734825567875,0,0
12431,14.808762330974558,2,1.0,1.0,3,6,0,0,0,0,0,0,0,0,14.995374669185669,6.745236349484363,0,0
11305,12.89921982609012,3,1.5,1.5,5,6,0,0,1,1,0,1,0,0,8.579980179515003,7.222566018822171,0,0
341,13.5985975564007,1,1.0,1.0,4,5,0,0,0,1,0,1,0,0,8.699514748210191,6.131226489483141,0,1
26170,13.845069360205818,3,1.5,1.5,4,7,0,0,1,1,0,0,0,1,8.699514748210191,7.718685495198466,0,1
1787,12.80765263256463,2,1.0,1.0,3,5,0,0,0,1,0,1,0,0,8.656955133791396,6.779921907472252,0,1
7032,13.281075068559149,3,2.5,2.0,3,7,0,0,0,1,0,1,0,0,8.582044163735853,7.299797366758161,0,1
6927,12.01974306733868,4,1.0,1.0,3,6,0,0,1,1,0,0,0,1,8.699514748210191,6.606650186198215,0,0
4018,14.038053929206452,1,1.0,1.0,3,6,0,0,1,1,0,0,0,1,8.699514748210191,6.84587987526405,0,0
10108,14.392123922268269,6,4.5,2.0,3,11,0,0,1,1,0,1,0,0,10.824964811097583,8.764053269347762,1,1
17126,13.277656261810364,4,2.0,1.0,3,7,0,0,1,1,0,1,0,0,9.046644279305394,7.286191714702382,0,0
11384,13.815510557964274,4,2.0,2.0,3,8,0,0,1,1,0,0,0,0,8.881836305004146,7.539027055823995,0,1
18338,13.85952744338105,2,2.5,3.0,3,9,0,0,0,1,0,1,0,0,6.733401891837359,7.200424892944957,0,0
10049,13.742939865129438,3,2.0,2.0,3,9,0,0,1,1,0,1,0,0,7.149916836132109,7.064759027791802,0,1
15445,14.199070830684388,4,3.0,2.0,5,8,0,0,1,1,0,1,0,0,8.898365606955357,7.659171367666058,0,1
18493,13.710150042306449,3,2.0,2.0,3,9,0,0,1,1,0,1,0,0,7.150701457592526,7.038783541388542,0,1
1288,13.53777881636566,3,2.0,3.0,3,9,0,0,0,1,0,1,0,0,6.860663671448287,7.154615356913663,0,0
5589,13.890876809580828,3,2.5,3.0,3,9,0,0,0,1,0,1,0,0,7.2196420401307355,7.580699752224563,0,1
1553,13.883169206438088,3,2.5,2.0,3,9,0,0,1,1,0,1,0,0,7.38770923908104,7.24422751560335,1,1
20654,14.201452999583575,4,2.0,2.0,4,8,0,0,1,1,0,0,0,0,8.203851372183879,7.371489295214277,1,1
7803,13.750438561220559,3,2.5,2.0,3,7,0,0,0,1,0,0,0,0,7.853604813097837,7.200424892944957,1,1
14250,13.527828485512494,3,1.0,1.5,3,7,0,0,1,1,0,1,0,0,8.546751993657782,7.27931883541462,0,1
24040,13.726679344257658,2,2.5,2.0,3,7,0,0,1,1,0,1,0,0,8.259199362666282,7.170119543449628,1,0
12450,13.651814465293484,4,2.0,1.0,5,7,0,0,1,1,0,1,0,0,8.636752426473876,7.003065458786462,0,1
15702,13.526494262499357,3,2.0,1.0,4,7,0,0,0,1,0,1,0,0,8.433811582477187,7.265429723253953,0,1
25678,13.345506928718539,5,3.0,1.0,5,7,0,0,1,0,0,0,0,0,10.212037860792206,7.31986492980897,0,1
16076,13.32612021491835,4,3.0,2.0,3,7,0,0,0,0,0,0,0,0,9.643355794171352,7.517520850603031,1,0
28377,14.077874822431765,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0,8.014335737299424,7.333023014386481,1,1
26658,14.089347223594002,3,2.5,2.0,3,8,0,0,0,1,0,1,0,0,8.215006432761575,7.554858521040676,1,1
29830,14.010254634756786,4,3.5,2.0,3,8,0,0,1,1,0,1,0,0,7.917171988845776,7.333023014386481,1,0
28902,14.22097566607244,3,2.5,2.0,4,8,0,0,0,1,0,1,0,0,8.414052432496725,7.3901814282264295,1,1
18737,14.347901959644826,4,2.5,2.0,3,10,0,0,0,1,0,1,0,0,9.078065332666364,7.7706452341291765,1,0
3596,14.27293540500315,4,2.5,2.0,4,10,0,0,0,1,0,1,0,0,8.97853441008332,7.8399193600125825,1,1
24065,14.735793311107967,5,3.0,2.0,4,10,0,0,0,1,0,1,0,0,9.442324727955874,8.009695357742922,1,1
8625,14.508657738524219,3,2.5,2.0,3,10,0,0,1,1,0,1,0,0,9.094255892955381,7.951559331155252,1,1
6100,14.659230597003594,4,2.5,2.0,4,9,0,0,1,1,0,1,0,0,9.220488703027998,7.731930721948486,1,1
15962,14.28551418721001,3,3.0,2.0,4,9,0,0,0,1,0,1,0,0,9.199885914072324,7.687080155783135,1,1
25144,14.610762961461374,6,4.0,2.0,4,9,0,0,1,1,0,1,0,0,9.143024664691316,8.048788283534199,1,1
17205,14.436087045689384,4,3.0,1.0,4,9,0,0,1,1,0,1,0,0,9.14686794902061,7.570443252057374,1,1
22328,14.129591104270586,4,2.5,1.0,3,9,0,0,1,1,0,1,0,0,9.260653185849772,7.52294091807237,1,1
22530,14.606238066863083,4,3.0,1.0,4,9,0,0,1,1,0,1,0,0,9.15957325492253,7.570443252057374,1,1
16682,14.406071149749119,3,3.0,2.0,3,9,0,0,1,1,0,1,0,0,9.616138757874468,7.969011781106478,1,0
18964,13.337474757021274,4,2.5,2.0,3,8,0,0,0,1,0,1,0,0,8.476371196895983,7.691656822810547,1,1
